Team,First Season,Last Season,Conference,Division
Buffalo Bills,2002,2015,AFC,East
Miami Dolphins,2002,2015,AFC,East
New England Patriots,2002,2015,AFC,East
New York Jets,2002,2015,AFC,East
Baltimore Ravens,2002,2015,AFC,North
Cincinnati Bengals,2002,2015,AFC,North
Cleveland Browns,2002,2015,AFC,North
Pittsburgh Steelers,2002,2015,AFC,North
Houston Texans *,2002,2015,AFC,South
Indianapolis Colts,2002,2015,AFC,South
Jacksonville Jaguars,2002,2015,AFC,South
Tennessee Titans,2002,2015,AFC,South
Denver Broncos,2002,2015,AFC,West
Kansas City Chiefs,2002,2015,AFC,West
Oakland Raiders,2002,2015,AFC,West
San Diego Chargers,2002,2015,AFC,West
Dallas Cowboys,2002,2015,NFC,East
New York Giants,2002,2015,NFC,East
Philadelphia Eagles,2002,2015,NFC,East
Washington Redskins,2002,2015,NFC,East
Chicago Bears,2002,2015,NFC,North
Detroit Lions,2002,2015,NFC,North
Green Bay Packers,2002,2015,NFC,North
Minnesota Vikings,2002,2015,NFC,North
Atlanta Falcons,2002,2015,NFC,South
Carolina Panthers,2002,2015,NFC,South
New Orleans Saints,2002,2015,NFC,South
Tampa Bay Buccaneers,2002,2015,NFC,South
Arizona Cardinals,2002,2015,NFC,West
St. Louis Rams,2002,2015,NFC,West
San Francisco 49ers,2002,2015,NFC,West
Seattle Seahawks,2002,2015,NFC,West
Buffalo Bills,1970,2001,AFC,East
Miami Dolphins,1970,2001,AFC,East
New England Patriots,1971,2001,AFC,East
New York Jets,1970,2001,AFC,East
Indianapolis Colts,1984,2001,AFC,East
Baltimore Ravens,1996,2001,AFC,Central
Cincinnati Bengals,1970,2001,AFC,Central
Cleveland Browns,1970,1995,AFC,Central
Pittsburgh Steelers,1970,2001,AFC,Central
Jacksonville Jaguars,1995,2001,AFC,Central
Tennessee Titans,1999,2001,AFC,Central
Denver Broncos,1970,2001,AFC,West
Kansas City Chiefs,1970,2001,AFC,West
Oakland Raiders,1970,1981,AFC,West
San Diego Chargers,1970,2001,AFC,West
Seattle Seahawks,1977,2001,AFC,West
Dallas Cowboys,1970,2001,NFC,East
New York Giants,1970,2001,NFC,East
Philadelphia Eagles,1970,2001,NFC,East
Washington Redskins,1970,2001,NFC,East
Arizona Cardinals,1994,2001,NFC,East
Chicago Bears,1970,2001,NFC,Central
Detroit Lions,1970,2001,NFC,Central
Green Bay Packers,1970,2001,NFC,Central
Minnesota Vikings,1970,2001,NFC,Central
Tampa Bay Buccaneers,1977,2001,NFC,Central
St. Louis Rams,1995,2001,NFC,West
San Francisco 49ers,1970,2001,NFC,West
Atlanta Falcons,1970,2001,NFC,West
New Orleans Saints,1970,2001,NFC,West
Carolina Panthers,1995,2001,NFC,West
Boston Patriots,1970,1970,AFC,East
Seattle Seahawks,1976,1976,AFC,West
Tampa Bay Buccaneers,1976,1976,AFC,West
Los Angeles Raiders,1982,1994,AFC,West
Oakland Raiders,1995,2001,AFC,West
Baltimore Colts,1970,1983,AFC,East
St. Louis Cardinals,1970,1987,NFC,East
Phoenix Cardinals,1988,1993,NFC,East
Los Angeles Rams,1970,1994,NFC,West
Cleveland Browns,1999,2001,AFC,Central
Houston Oilers,1970,1996,AFC,Central
Tennessee Oilers,1997,1998,AFC,Central
