Year,Lg,Tm,Abr
1929,NFL,Buffalo Bisons,bff
1927,NFL,Buffalo Bisons,bff
1926,NFL,Buffalo Rangers,bff
1925,NFL,Buffalo Bisons,bff
1924,NFL,Buffalo Bisons,bff
1923,NFL,Buffalo All-Americans,bff
1922,NFL,Buffalo All-Americans,bff
1921,APFA,Buffalo All-Americans,bff
1920,APFA,Buffalo All-Americans,bff
1929,NFL,Dayton Triangles,day
1928,NFL,Dayton Triangles,day
1927,NFL,Dayton Triangles,day
1926,NFL,Dayton Triangles,day
1925,NFL,Dayton Triangles,day
1924,NFL,Dayton Triangles,day
1923,NFL,Dayton Triangles,day
1922,NFL,Dayton Triangles,day
1921,APFA,Dayton Triangles,day
1920,APFA,Dayton Triangles,day
1926,NFL,Milwaukee Badgers,mil
1925,NFL,Milwaukee Badgers,mil
1924,NFL,Milwaukee Badgers,mil
1923,NFL,Milwaukee Badgers,mil
1922,NFL,Milwaukee Badgers,mil
2015,NFL,Atlanta Falcons,atl
2014,NFL,Atlanta Falcons,atl
2013,NFL,Atlanta Falcons,atl
2012,NFL,Atlanta Falcons,atl
2011,NFL,Atlanta Falcons,atl
2010,NFL,Atlanta Falcons,atl
2009,NFL,Atlanta Falcons,atl
2008,NFL,Atlanta Falcons,atl
2007,NFL,Atlanta Falcons,atl
2006,NFL,Atlanta Falcons,atl
2005,NFL,Atlanta Falcons,atl
2004,NFL,Atlanta Falcons,atl
2003,NFL,Atlanta Falcons,atl
2002,NFL,Atlanta Falcons,atl
2001,NFL,Atlanta Falcons,atl
2000,NFL,Atlanta Falcons,atl
1999,NFL,Atlanta Falcons,atl
1998,NFL,Atlanta Falcons,atl
1997,NFL,Atlanta Falcons,atl
1996,NFL,Atlanta Falcons,atl
1995,NFL,Atlanta Falcons,atl
1994,NFL,Atlanta Falcons,atl
1993,NFL,Atlanta Falcons,atl
1992,NFL,Atlanta Falcons,atl
1991,NFL,Atlanta Falcons,atl
1990,NFL,Atlanta Falcons,atl
1989,NFL,Atlanta Falcons,atl
1988,NFL,Atlanta Falcons,atl
1987,NFL,Atlanta Falcons,atl
1986,NFL,Atlanta Falcons,atl
1985,NFL,Atlanta Falcons,atl
1984,NFL,Atlanta Falcons,atl
1983,NFL,Atlanta Falcons,atl
1982,NFL,Atlanta Falcons,atl
1981,NFL,Atlanta Falcons,atl
1980,NFL,Atlanta Falcons,atl
1979,NFL,Atlanta Falcons,atl
1978,NFL,Atlanta Falcons,atl
1977,NFL,Atlanta Falcons,atl
1976,NFL,Atlanta Falcons,atl
1975,NFL,Atlanta Falcons,atl
1974,NFL,Atlanta Falcons,atl
1973,NFL,Atlanta Falcons,atl
1972,NFL,Atlanta Falcons,atl
1971,NFL,Atlanta Falcons,atl
1970,NFL,Atlanta Falcons,atl
1969,NFL,Atlanta Falcons,atl
1968,NFL,Atlanta Falcons,atl
1967,NFL,Atlanta Falcons,atl
1966,NFL,Atlanta Falcons,atl
1925,NFL,Rock Island Independents,rii
1924,NFL,Rock Island Independents,rii
1923,NFL,Rock Island Independents,rii
1922,NFL,Rock Island Independents,rii
1921,APFA,Rock Island Independents,rii
1920,APFA,Rock Island Independents,rii
1921,APFA,Washington Senators,sen
1934,NFL,St. Louis Gunners,gun
1921,APFA,Tonawanda Kardex,ton
1926,NFL,Racine Tornadoes,rac
1924,NFL,Racine Legion,rac
1923,NFL,Racine Legion,rac
1922,NFL,Racine Legion,rac
2015,NFL,Washington Redskins,was
2014,NFL,Washington Redskins,was
2013,NFL,Washington Redskins,was
2012,NFL,Washington Redskins,was
2011,NFL,Washington Redskins,was
2010,NFL,Washington Redskins,was
2009,NFL,Washington Redskins,was
2008,NFL,Washington Redskins,was
2007,NFL,Washington Redskins,was
2006,NFL,Washington Redskins,was
2005,NFL,Washington Redskins,was
2004,NFL,Washington Redskins,was
2003,NFL,Washington Redskins,was
2002,NFL,Washington Redskins,was
2001,NFL,Washington Redskins,was
2000,NFL,Washington Redskins,was
1999,NFL,Washington Redskins,was
1998,NFL,Washington Redskins,was
1997,NFL,Washington Redskins,was
1996,NFL,Washington Redskins,was
1995,NFL,Washington Redskins,was
1994,NFL,Washington Redskins,was
1993,NFL,Washington Redskins,was
1992,NFL,Washington Redskins,was
1991,NFL,Washington Redskins,was
1990,NFL,Washington Redskins,was
1989,NFL,Washington Redskins,was
1988,NFL,Washington Redskins,was
1987,NFL,Washington Redskins,was
1986,NFL,Washington Redskins,was
1985,NFL,Washington Redskins,was
1984,NFL,Washington Redskins,was
1983,NFL,Washington Redskins,was
1982,NFL,Washington Redskins,was
1981,NFL,Washington Redskins,was
1980,NFL,Washington Redskins,was
1979,NFL,Washington Redskins,was
1978,NFL,Washington Redskins,was
1977,NFL,Washington Redskins,was
1976,NFL,Washington Redskins,was
1975,NFL,Washington Redskins,was
1974,NFL,Washington Redskins,was
1973,NFL,Washington Redskins,was
1972,NFL,Washington Redskins,was
1971,NFL,Washington Redskins,was
1970,NFL,Washington Redskins,was
1969,NFL,Washington Redskins,was
1968,NFL,Washington Redskins,was
1967,NFL,Washington Redskins,was
1966,NFL,Washington Redskins,was
1965,NFL,Washington Redskins,was
1964,NFL,Washington Redskins,was
1963,NFL,Washington Redskins,was
1962,NFL,Washington Redskins,was
1961,NFL,Washington Redskins,was
1960,NFL,Washington Redskins,was
1959,NFL,Washington Redskins,was
1958,NFL,Washington Redskins,was
1957,NFL,Washington Redskins,was
1956,NFL,Washington Redskins,was
